number,GaiaDR2,teff_xgboost,mh_xgboost,logg_xgboost,Mass5R,P_B,protD,age_seisfit,age_tefffit,ages_rotfit
0,598692675554477056,5662.1,0.006,4.44,-9999.0,-9999.0,-9999.0,-9999.0,6.3841085934987225,-9999.0
1,604906355065249408,4367.1,-0.111,4.618,-9999.0,-9999.0,-9999.0,-9999.0,18.47831791411303,-9999.0
2,604971093107735040,4656.1,-0.184,4.609,-9999.0,-9999.0,-9999.0,-9999.0,12.835051863083148,-9999.0
3,604906801741863936,4087.1,-0.225,4.658,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
4,604907355793322112,4614.7,-0.059,4.601,-9999.0,-9999.0,-9999.0,-9999.0,11.631188148444515,-9999.0
5,604908489664691456,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,476.0,-9999.0,-9999.0,0.7268122933319606
6,604970096675364352,5156.3,0.03,4.532,-9999.0,-9999.0,-9999.0,-9999.0,8.663024111585218,-9999.0
7,604909310002693632,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,24.0,-9999.0,-9999.0,4.615016593274738
8,604909692255500544,4348.3,-0.186,4.603,-9999.0,-9999.0,-9999.0,-9999.0,23.638222838707595,-9999.0
9,604910207651567360,4745.2,-0.073,4.505,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
10,604969306401373952,4351.2,-0.282,4.63,-9999.0,-9999.0,-9999.0,-9999.0,18.6011300075911,-9999.0
11,604969237681908480,4510.2,-0.055,4.539,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
12,604910478233820672,4693.2,0.03,4.584,-9999.0,-9999.0,-9999.0,-9999.0,11.081549565800232,-9999.0
13,604919927161960448,4273.5,-0.232,4.56,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
14,604966454543134720,4712.6,0.033,4.57,-9999.0,-9999.0,-9999.0,-9999.0,13.49323190472606,-9999.0
15,604965178937376512,4583.3,-0.304,4.601,-9999.0,-9999.0,-9999.0,-9999.0,22.123659269791453,-9999.0
16,604972394482498944,4055.2,-0.329,4.606,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
17,604964083721159936,4457.0,-0.065,4.602,-9999.0,-9999.0,-9999.0,-9999.0,17.032513992615428,-9999.0
18,604905019331023104,4458.7,-0.224,4.552,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
19,604974769599793152,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,53.5,-9999.0,-9999.0,0.650705874731553
20,604898903297606272,4176.8,-0.197,4.662,-9999.0,-9999.0,-9999.0,-9999.0,10.078071126021236,-9999.0
21,604899178175495168,4773.7,-0.356,4.544,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
22,605000401964512896,4645.6,-0.125,4.555,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
23,604899414398028928,4521.1,-0.192,4.58,-9999.0,-9999.0,-9999.0,-9999.0,22.45841833840229,-9999.0
24,604899448757770624,4373.6,0.037,4.614,-9999.0,-9999.0,23.8,-9999.0,13.209345213348591,2.997830066038351
25,605000058367154176,4307.8,-0.327,4.633,-9999.0,-9999.0,310.0,-9999.0,-9999.0,1.0233171282711975
26,604999779194000640,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
27,604901239759778176,4618.6,-0.021,4.61,-9999.0,-9999.0,-9999.0,-9999.0,8.015988242540454,-9999.0
28,604901407262883456,4251.0,-0.172,4.611,-9999.0,-9999.0,26.3,-9999.0,23.206324014598184,3.8443205686705006
29,604988204257490176,4628.6,0.012,4.543,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
30,604902407990875520,4625.0,0.039,4.585,-9999.0,-9999.0,-9999.0,-9999.0,12.601868703207831,-9999.0
31,604903812444576512,3995.8,-0.168,4.63,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
32,604977071702226688,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,159.0,-9999.0,-9999.0,0.6713117380533168
33,604904229057064320,4446.3,-0.03,4.583,-9999.0,-9999.0,-9999.0,-9999.0,21.317719176404896,-9999.0
34,604976762464567680,4584.9,-0.166,4.58,-9999.0,-9999.0,-9999.0,-9999.0,19.663423191063348,-9999.0
35,604974078109680000,4039.8,-0.188,4.604,-9999.0,-9999.0,25.1,-9999.0,-9999.0,3.867987351989896
36,604963911922477696,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,25.6,-9999.0,-9999.0,5.181304742525528
37,604911685120318592,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,117.0,-9999.0,-9999.0,0.6672347102385318
38,604963052929005824,4606.6,-0.195,4.563,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
39,604922229264424448,4199.0,-0.148,4.608,-9999.0,-9999.0,9.78,-9999.0,-9999.0,1.350588982530591
40,604916976519992192,4440.4,-0.132,4.523,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
41,604922130480588544,4481.4,-0.24,4.582,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
42,604921958681906176,5957.5,0.058,3.994,-9999.0,-9999.0,-9999.0,-9999.0,5.328530982166777,-9999.0
43,604917457556344320,4029.0,-0.258,4.643,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
44,604921713868337280,4516.9,0.07,4.643,-9999.0,-9999.0,-9999.0,-9999.0,1.3706293229308757,-9999.0
45,604921340206591744,4268.8,-0.213,4.614,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
46,604917663714774912,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,14.9,-9999.0,-9999.0,2.0003695987477284
47,604917698074520320,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
48,604917831219174528,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
49,604917972952402048,4127.3,-0.108,4.535,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
50,604918076031623680,4453.0,-0.037,4.574,-9999.0,-9999.0,-9999.0,-9999.0,21.166292084287356,-9999.0
51,604920549932809472,4102.3,-0.276,4.601,-9999.0,-9999.0,40.7,-9999.0,-9999.0,9.015035948919069
52,604920549932807296,4125.0,-0.14,4.669,-9999.0,-9999.0,442.0,-9999.0,7.682701589419784,1.2580462358830664
53,604920030241180672,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
54,604916594267287040,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
55,604922783315580288,5201.1,-0.005,4.525,-9999.0,-9999.0,-9999.0,-9999.0,9.027410432851756,-9999.0
56,604916529843404928,4182.2,-0.296,4.592,-9999.0,-9999.0,11.5,-9999.0,-9999.0,1.4293311104774524
57,604922920754523520,5274.9,-0.107,4.51,-9999.0,-9999.0,-9999.0,-9999.0,11.169132539908441,-9999.0
58,604911886983070720,4252.5,0.069,4.614,-9999.0,-9999.0,25.4,-9999.0,18.262172500857936,3.320277141895086
59,604912058781650176,5987.9,0.103,4.279,-9999.0,-9999.0,-9999.0,-9999.0,4.929019252140483,-9999.0
60,604913540546033024,4706.4,-0.092,4.619,-9999.0,-9999.0,-9999.0,-9999.0,6.109128105175424,-9999.0
61,604913952863073920,4331.0,-0.09,4.649,-9999.0,-9999.0,-9999.0,-9999.0,8.942454692175902,-9999.0
62,604948651903292672,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
63,604947621110416640,4423.1,0.009,4.622,-9999.0,-9999.0,-9999.0,-9999.0,9.48553404007107,-9999.0
64,604946938211615360,4163.1,-0.092,4.57,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
65,604898555404553344,4137.9,-0.132,4.563,-9999.0,-9999.0,11.9,-9999.0,-9999.0,1.3582398579432455
66,604946865196193280,4143.1,-0.107,4.632,-9999.0,-9999.0,826.0,-9999.0,18.84500537493544,2.712926490210308
67,604944082058063616,4701.1,-0.096,4.526,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
68,604931441969782272,4706.2,0.007,4.548,-9999.0,-9999.0,-9999.0,-9999.0,16.72119321331594,-9999.0
69,604930235082768768,4359.4,-0.097,4.655,-9999.0,-9999.0,-9999.0,-9999.0,6.237926440807226,-9999.0
70,604926494167461376,4501.3,-0.197,4.563,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
71,604923706733209088,4314.7,-0.077,4.589,-9999.0,-9999.0,-9999.0,-9999.0,24.371345833351274,-9999.0
72,604916181950391936,4315.2,-0.33,4.58,-9999.0,-9999.0,27.5,-9999.0,-9999.0,4.646778322440994
73,604916392404461184,4196.9,-0.072,4.56,-9999.0,-9999.0,155.0,-9999.0,-9999.0,1.0345790521748044
74,604946285376553088,4191.4,-0.207,4.626,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
75,604898009944444032,4529.4,-0.108,4.578,-9999.0,-9999.0,-9999.0,-9999.0,20.02949627903505,-9999.0
76,604919725299047424,4332.5,-0.035,4.562,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
77,604895810921215744,4615.8,-0.105,4.553,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
78,604896498115959296,4427.8,-0.212,4.632,-9999.0,-9999.0,25.9,-9999.0,15.648581633355072,3.5819746431922757
79,598907522703329280,3951.4,-0.155,4.598,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
80,604896807353611264,4066.8,-0.042,4.614,-9999.0,-9999.0,30.8,-9999.0,-9999.0,5.043014984431229
81,598902437462030336,4128.1,-0.078,4.622,-9999.0,-9999.0,-9999.0,-9999.0,21.60018889205253,-9999.0
82,604896876073077504,4692.7,-0.028,4.569,-9999.0,-9999.0,-9999.0,-9999.0,15.744044337715904,-9999.0
83,598695763635752448,5133.5,-0.102,4.555,-9999.0,-9999.0,-9999.0,-9999.0,8.856340165470513,-9999.0
84,598903128951834496,4171.9,-0.216,4.555,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
85,598889213257785984,4369.4,-0.119,4.622,-9999.0,-9999.0,413.0,-9999.0,17.399484692684435,1.1680285064668765
86,598888697861717376,4511.9,-0.083,4.574,-9999.0,-9999.0,-9999.0,-9999.0,20.682457086966057,-9999.0
87,604703465105196416,4279.2,-0.223,4.656,-9999.0,-9999.0,26.5,-9999.0,14.487143253348343,3.9472660829647483
88,604711500989123584,4506.1,-0.131,4.623,-9999.0,-9999.0,-9999.0,-9999.0,11.99576360635451,-9999.0
89,604914159021501184,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
90,604907076619776640,4456.7,-0.348,4.499,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
91,604916181950394240,4241.1,-0.046,4.607,-9999.0,-9999.0,25.3,-9999.0,25.85649087230446,3.6313466894148414
92,604918243534758400,4321.9,0.039,4.586,-9999.0,-9999.0,-9999.0,-9999.0,24.228160140517957,-9999.0
93,604923848467470976,4164.8,0.12,4.593,-9999.0,-9999.0,26.0,-9999.0,23.230883824604017,3.901155204106435
94,604969237681904896,4400.0,-0.148,4.59,-9999.0,-9999.0,-9999.0,-9999.0,23.05630007951249,-9999.0
95,604918552772398336,4005.1,-0.205,4.65,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
96,604904263416797440,4505.7,0.072,4.585,-9999.0,-9999.0,-9999.0,-9999.0,15.913423743119772,-9999.0
97,604905122410226688,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
98,604914945000917376,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
99,604905431647872384,3879.4,-0.201,4.658,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
100,604942879467199360,3915.6,-0.11,4.633,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
101,604904641373912960,4237.4,-0.113,4.611,-9999.0,-9999.0,-9999.0,-9999.0,20.77484360638626,-9999.0
102,598957790999876736,5876.1,0.002,4.298,-9999.0,-9999.0,-9999.0,-9999.0,7.149461134821163,-9999.0
103,604920549932810368,4377.3,-0.023,4.584,-9999.0,-9999.0,-9999.0,-9999.0,23.965760127928373,-9999.0
104,604963259087437184,4222.9,-0.043,4.565,-9999.0,-9999.0,28.4,-9999.0,-9999.0,4.379095925036881
105,604921030968952704,3911.0,-0.069,4.635,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
106,604975388075059072,4234.8,-0.107,4.533,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
107,604903713659968256,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
108,604910100276687232,4034.0,-0.11,4.659,-9999.0,-9999.0,217.0,-9999.0,-9999.0,0.9380868637040369
109,604922233559793664,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
110,604897288389930880,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
111,604922886394970240,4438.4,-0.119,4.593,-9999.0,-9999.0,25.7,-9999.0,23.153807994303467,3.451253594406535
112,604919278622426624,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,19.2,-9999.0,-9999.0,3.0503473728914274
113,604917594995372160,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
114,604922435422864512,3744.4,-0.206,4.702,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
115,604916598562886272,4315.9,-0.18,4.605,-9999.0,-9999.0,-9999.0,-9999.0,23.816244838147078,-9999.0
116,604898113023653888,3928.4,-0.201,4.626,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
117,604917625061651328,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
118,604922027401371904,4326.8,-0.148,4.626,-9999.0,-9999.0,826.0,-9999.0,19.619337976195197,2.709896532304243
119,604897696411104256,4449.2,-0.093,4.602,-9999.0,-9999.0,170.0,-9999.0,18.68874172376245,1.006516580722659
120,604917663714774272,4787.1,-0.156,4.54,-9999.0,-9999.0,-9999.0,-9999.0,20.123790561993072,-9999.0
121,604921129752600832,5302.2,0.101,3.683,1.191,-9999.0,-9999.0,6.087387890018817,2.4520958241311055,-9999.0
122,604920957953908864,6094.8,-0.101,4.255,-9999.0,-9999.0,-9999.0,-9999.0,5.661526217407544,-9999.0
123,604920889234433792,6023.2,0.034,4.281,-9999.0,-9999.0,-9999.0,-9999.0,5.063593720919568,-9999.0
124,604917629355038848,6027.4,-0.126,4.047,-9999.0,-9999.0,-9999.0,-9999.0,6.742007455087833,-9999.0
125,604922302279259008,5936.3,0.247,4.205,-9999.0,-9999.0,-9999.0,-9999.0,4.368244526711534,-9999.0
126,604921821242942464,5968.6,-0.046,4.248,-9999.0,-9999.0,-9999.0,-9999.0,6.842119886589479,-9999.0
127,604916804721291776,5269.3,-0.114,4.455,-9999.0,-9999.0,-9999.0,-9999.0,16.685497690791788,-9999.0
128,604923882827217024,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
129,604904297776551680,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
130,604969168962427904,5742.3,-0.046,4.183,-9999.0,-9999.0,-9999.0,-9999.0,10.936937993501834,-9999.0
131,604903576222015616,5293.3,0.087,4.5,-9999.0,-9999.0,-9999.0,-9999.0,8.361827129070326,-9999.0
132,604964083721158656,5239.3,-0.344,4.41,-9999.0,-9999.0,-9999.0,-9999.0,26.355613386625503,-9999.0
133,604919033808556800,5573.3,-0.082,4.376,-9999.0,-9999.0,-9999.0,-9999.0,12.358943658959454,-9999.0
134,604905534727082880,5576.1,-0.056,4.493,-9999.0,-9999.0,-9999.0,-9999.0,5.496290679812267,-9999.0
135,604917629355042176,4765.4,0.06,2.487,1.45,-9999.0,-9999.0,3.1163620662433216,1.1058296570375006,-9999.0
136,604900449485821568,5796.5,0.062,4.331,-9999.0,-9999.0,-9999.0,-9999.0,7.199447286180229,-9999.0
137,598903953585548672,6028.2,-0.041,4.204,-9999.0,-9999.0,-9999.0,-9999.0,6.027790941106937,-9999.0
138,604948724917993984,5894.6,0.026,4.35,-9999.0,-9999.0,-9999.0,-9999.0,5.6819018936468195,-9999.0
139,604913162588927488,5612.6,0.093,4.483,-9999.0,-9999.0,-9999.0,-9999.0,3.7892175786119595,-9999.0
140,604933018221557120,5606.7,0.007,4.451,-9999.0,-9999.0,-9999.0,-9999.0,6.764001348030279,-9999.0
141,604989441208017920,5294.0,-0.036,4.508,-9999.0,-9999.0,-9999.0,-9999.0,9.437234788051798,-9999.0
142,604917354477128448,4330.2,0.01,1.853,1.401,-9999.0,-9999.0,3.443399532771488,-9999.0,-9999.0
143,604981607187745792,6085.3,-0.022,4.258,-9999.0,-9999.0,-9999.0,-9999.0,5.054914962473665,-9999.0
144,604911375882674560,4295.1,-0.022,1.951,1.402,-9999.0,-9999.0,3.37716774821488,-9999.0,-9999.0
145,604922164840316672,4785.9,0.022,2.517,1.265,-9999.0,-9999.0,4.96348928710994,1.086757758629896,-9999.0
