TICID,cluster,logg_gaia,feh,numax_pred,numax_final,numax_source,dnu_hon,data_source,has_spoc,peak1,peak2,peak3,M_anchor,dnu_cluster,dnu_scaling,dnu_lo,dnu_hi,dnu_center,ratio,realistic,radius_flame,radius_flame_lower,radius_flame_upper,mass_flame,mass_flame_lower,mass_flame_upper,teff_gspspec,teff_gspspec_lower,teff_gspspec_upper,logg_gspspec,logg_gspspec_lower,logg_gspspec_upper,logg_andrae,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag,parallax,BP_RP,M_G,evo_state,numax_err_lo,numax_err_up,dnu_err_lo,dnu_err_up,teff_err_lo,teff_err_up,numax_corr,dnu_corr,f_dnu,R_seis,M_seis,logg_seis,R_err_up,R_err_lo,M_err_up,M_err_lo,logg_err_up,logg_err_lo,R_flame_err,age_gyr,age_std,sigma_obs,sigma_model,age_MIST,age_Dartmouth,age_GARSTEC,age_YREC,Within1kpc,Mag<13/TESS,Giants,crowdbleedsec,Crowding,Bleeding,n_sectors,M_eff,numax_pysyd,dnu_pysyd,config,n_spoc,n_qlp,has_qlp,hon21_numax,hon21_e_numax,hon21_flag,R_gaia,R_gaia_err,detection_flag
306552813,Casado_Alessi_1,2.52,-0.04,39.91339333523751,92.0,envelope,,QLP,False,25.321985815,66.01803445499999,76.84422688000001,2.7020533,6.4715486378383735,8.136413489439366,5.824393774054537,8.950054838383304,6.961,1.653580276817305,True,9.583142,9.374711,9.796296,2.7020533,2.496167,2.8092427,5010.0,5002.0,5025.0,2.52,2.48,2.57,2.846,10.393996,9.238861,9.896997,1.381695436631358,1.1551349999999996,0.5990586161775138,RC,13.7875911,13.7875911,0.3531635253157519,0.3531635253157519,80.0,80.0,91.917274,7.063270506315037,0.9855208,10.134570676721625,2.845227824337002,2.880466335693411,1.8288265870607263,1.8288265870607263,1.402768598913797,1.402768598913797,0.065236387018627,0.065236387018627,0.4215850000000003,1.061765548942609,0.4158597171736862,0.4124865468844469,0.0528597484587583,1.061765548942609,1.204431899656143,1.1059218711801624,1.1500495317332593,y,y,y,y,3.0,5.0,5,2.048601983952349,74.53116087,6.378403397284048,wide,0,5,True,,,,9.123423157158642,0.4515982894947877,marginal
306955660,Casado_Alessi_1,2.24,-0.07,21.137565360759417,69.0,envelope,,QLP,False,69.90567327333333,28.99574069,114.17743087333332,2.7020533,5.614626129580408,7.081603343235854,5.053163516622368,7.78976367755944,5.576,3.3071771549957636,True,,,,,,,4920.0,4915.0,4929.0,2.24,2.21,2.26,2.693,10.080814,8.904677,9.572668,1.3954989511320433,1.1761370000000009,0.2963155720281669,RC,10.3406934,10.3406934,0.2834967473120685,0.2834967473120685,80.0,80.0,68.937956,5.669934946241369,0.9834328,11.689228186128748,2.8132152558592978,2.751591290685062,2.1094474013627766,2.1094474013627766,1.3870460293237414,1.3870460293237414,0.06523978909051,0.06523978909051,,0.8819827859979094,0.4187267525378655,0.4018142759629234,0.117802295916924,0.8819827859979094,1.1969900027257696,1.0820790205137751,1.1327225699718486,y,y,y,y,3.0,4.5,5,2.207242829172245,38.69866321,3.460022176231651,wide,0,5,True,,,,10.98687040612296,0.5479997462962762,marginal
306187638,Casado_Alessi_1,2.46,-0.01,34.850172619030744,79.0,envelope_revised,,QLP,False,69.88831456666666,24.28339987,78.36243573,2.7020533,6.65824496171507,8.393640651403478,5.992420465543563,9.233004716543826,6.716,2.00539364124993,True,,,,,,,4985.0,4964.0,5026.0,2.46,2.39,2.57,2.761,10.331098,9.153881,9.832278,1.4152658355628638,1.1772170000000006,0.5864681147592883,RC,11.8393446,11.8393446,0.3407957936989922,0.3407957936989922,80.0,80.0,78.928964,6.815915873979845,0.9853408,9.32226781969204,2.062065574050739,2.813219320540452,1.6822596214124568,1.6822596214124568,1.0166620526498389,1.0166620526498389,0.0652373135980576,0.0652373135980576,,1.0898651166781623,0.4216715037677051,0.4191736048283804,0.0458295331080131,1.0898651166781623,1.2091298904639451,1.1089850709163338,1.1521248945186429,y,y,y,n,3.0,5.0,4,2.0372156634359593,74.10219014,7.0149908249669135,wide,0,5,True,,,,9.293869352671855,0.4609969468671836,marginal
354016987,LISC_3534,1.64,0.09,5.63890378330592,21.0,envelope_revised,,QLP,False,20.796936345,23.900826925,98.6724208,1.5,2.5542123105562773,2.8409850613255276,2.2987910795006496,3.1250835674580806,2.436,3.688116900765308,True,,,,,,,4362.0,4359.0,4366.0,1.64,1.63,1.65,2.345,8.671358,7.202856,7.9951754,2.360773557272482,1.468502,-0.1395529397934547,RGB,3.1471675500000003,3.1471675500000003,0.1249988711103594,0.1249988711103594,80.0,80.0,20.981117,2.4999774222071887,0.9744088,17.23059593210457,1.7517106451450253,2.208821773019417,3.110305884054284,3.110305884054284,0.863962474177482,0.863962474177482,0.0652657927070521,0.0652657927070521,,0.2213885817982235,0.5101578392765432,0.1012966977512657,0.5,0.2213885817982235,,,,y,y,y,y,3.0,4.5,5,3.76356883657036,24.99631772,2.8830827617287462,wide,0,5,True,21.7,3.0,1.0,18.80707419104712,0.9908429934923144,confirmed
67569102,NGC_752,2.27,-0.12,22.784003446218662,62.89426195886992,SPOC_envelope,,SPOC,True,65.961087425,128.7093100775,24.096485815,2.7518926500000003,5.539223075050916,7.048929099104836,4.985300767545825,7.75382200901532,5.478,2.895061334620155,True,10.363285,10.142814,10.583345,2.7030272,2.5955877,2.9059703,4862.0,4854.0,4873.0,2.27,2.24,2.31,2.666,9.234363,8.066982,8.731168,2.30548541403236,1.167381000000001,0.5449798947044844,RC,9.4256562,9.4256562,0.278726653717088,0.278726653717088,80.0,80.0,62.837708,5.574533074341761,0.9826832,10.95750947496418,2.239968234674688,2.7087781498610326,1.9774490241809235,1.9774490241809235,1.104441004945094,1.104441004945094,0.0652420822484425,0.0652420822484425,0.440531,1.4548574993724808,0.7218918697393568,0.7158365216441839,0.0933056583286366,1.4548574993724808,1.709110755930077,1.5314390336157735,1.5977592701509025,y,y,y,y,3.5,4.0,5,1.7958204937068416,65.08485158,5.384668464613458,wide,1,3,True,,,,10.106061231544516,0.5066319587979287,confirmed
67420118,NGC_752,2.43,-0.06,32.61909187951771,92.0,envelope_revised,,SPOC,True,125.311606286,34.351730053333334,79.52660793,2.7518926500000003,6.051530330565898,7.66235281600133,5.446377297509308,8.428588097601464,7.977,2.437222970327997,True,8.349718,8.172794,8.525507,2.6015022,2.5615013,2.6415057,4956.0,4945.0,4977.0,2.43,2.39,2.49,2.894,9.510837,8.401606,9.037284,2.262139320439473,1.1092310000000012,0.809880743519285,RC,13.7875911,13.7875911,0.4046405683898866,0.4046405683898866,80.0,80.0,91.917274,8.092811367797733,0.9856896,7.678298368868081,1.624363005934318,2.878113121611801,1.3856114665322643,1.3856114665322643,0.8008723641239786,0.8008723641239786,0.0652384060291575,0.0652384060291575,0.3527129999999996,1.7133338499758133,0.8348274818335989,0.8235202700220946,0.1369353471071813,1.7133338499758133,2.087416221264057,1.9184676489359624,1.9865567516566016,y,y,y,y,4.0,4.0,5,1.670762395639326,74.82089148,4.91634452622854,tight,1,3,True,,,,8.511297489249273,0.4232157241591939,confirmed
186970424,NGC_752,2.27,-0.1,22.791035907967373,63.0,envelope_revised,,SPOC,True,69.67634081,142.17605727333333,49.08584403,2.7518926500000003,5.643942869476004,7.187485761322776,5.079548582528404,7.9062343374550546,5.786,3.0571818275992575,True,10.0878,9.875372,10.300075,2.8007581,2.5965025,2.8407605,4859.0,4854.0,4867.0,2.27,2.24,2.29,,9.218865,8.043753,8.712867,2.296356674480272,1.1751119999999986,0.5180637220446993,RC,9.44150265,9.44150265,0.2943795785029847,0.2943795785029847,80.0,80.0,62.943351,5.887591570059694,0.9827448,9.836690229662471,1.807638725866136,2.709373646649242,1.7751824451729532,1.7751824451729532,0.8912775590323517,0.8912775590323517,0.0652422030962803,0.0652422030962803,0.4247029999999991,1.5342087796517232,0.7480581634643885,0.7422606914122216,0.09295204091339,1.5342087796517232,1.788107224902152,1.6219372033932062,1.6897593886907012,y,y,y,y,3.5,5.0,5,1.7626082819825108,59.42920106,5.137522504878262,medium,5,3,True,,,,10.248733463447149,0.5139210473652619,confirmed
67419922,NGC_752,2.33,-0.14,26.259645328063343,71.0,envelope_revised,,QLP,False,31.760074875,147.39088288666665,85.97510613,2.7518926500000003,3.2470538902424013,4.085596668572955,2.922348501218161,4.494156335430251,6.306,1.209463207831616,True,9.794666,9.5751095,10.015025,2.8020263,2.5992658,2.8420272,4825.0,4814.0,4844.0,2.33,2.29,2.4,,9.39067,8.2298355,8.890364,2.258684821007305,1.1608345,0.6596421664497321,RC,10.64042355,10.64042355,0.3208676962656007,0.3208676962656007,80.0,80.0,70.936157,6.417353925312014,0.982648,9.298338806310186,1.813916893861537,2.759766652307743,1.6780533200922152,1.6780533200922152,0.8943889505112907,0.8943889505112907,0.0652435884818034,0.0652435884818034,0.4399154999999997,1.4999892532051595,0.7455971650673319,0.74005548321525,0.0907359593517641,1.4999892532051595,1.7467230518620664,1.5747930647132309,1.6422117551255655,y,y,y,y,3.0,4.0,5,1.7796794970619412,33.13639465,4.004138382573046,wide,0,3,True,,,,9.781694668523054,0.4919948859135918,marginal
150753375,Theia_1188,1.48,-0.08,3.8935884263712977,22.0,envelope_revised,,QLP,False,15.980634445,131.87859645499998,95.86188535,1.5,2.051400894768489,2.265026481333593,1.8462608052916405,2.4915291294669526,1.977,4.104346092864636,True,,,,,,,4379.0,4377.0,4382.0,1.48,1.48,1.49,,7.404652,5.994366,6.7634535,3.084707717921657,1.4102859999999993,-0.7904763996566713,RGB,3.2970327,3.2970327,0.1014614555269344,0.1014614555269344,80.0,80.0,21.980218,2.0292291105386893,0.9742616,27.45101044686518,4.6668782915533935,2.2298698048459356,4.955149890959164,4.955149890959164,2.3017266702725965,2.3017266702725965,0.0652648511102954,0.0652648511102954,,0.7825215565429948,0.6188467764949239,0.3646523450879732,0.5,0.7825215565429948,,,,y,y,y,y,4.0,4.0,5,2.3473233639375515,17.33975562,2.000573873491016,wide,0,2,True,,,,25.085500885001636,1.3191347876932005,unconfirmed
321823630,Theia_1297,2.19,-0.06,18.890780727104723,73.0,envelope_revised,,QLP,False,27.828400405,75.24768312,37.90816252,1.5,3.2263372509055035,3.4547740397143305,2.903703525814953,3.800251443685764,5.865,1.473120714649526,True,,,,,,,4893.0,4888.0,4899.0,2.19,2.17,2.21,3.013,9.188267,7.999292,8.673056,1.8781373164992403,1.188975,0.0416927086008378,RGB,10.94015385,10.94015385,0.2990825890179933,0.2990825890179933,80.0,80.0,72.934359,5.981651780359866,0.9804984,11.08098989575458,2.667271551002855,2.7748701150974777,1.999706694304554,1.999706694304554,1.31510679871246,1.31510679871246,0.065240846461687,0.065240846461687,,0.7633353567437204,0.6066729879032543,0.343587127598608,0.5,0.7633353567437204,,,,y,y,y,y,4.0,5.0,5,2.327279513598277,37.24604522,3.4746289344431114,wide,0,12,True,61.1,5.7,0.0,12.53172717865286,0.6265221905977227,marginal
